osm_type,osm_id,name,amenity,healthcare,facility_role,latitude,longitude
way,979199293,Meenangadi Anganwadi,childcare,,childcare,,
way,979199294,"Government Ayurveda Dispensary,  Meenangadi",,alternative,alternative,,
way,979207302,Kolambetta Anganwadi,childcare,,childcare,,
way,979551970,Thachambath Anganawadi,childcare,,childcare,,
way,979577919,Valiya Kolly Anganwadi,childcare,,childcare,,
way,979748664,Kottoor sudhikavala Anganwadi,childcare,,childcare,,
way,979939894,Government Higher Secondary School Meenangadi,school,,school,,
way,979941917,GLPS CC Bhoothanam,school,,school,,
way,979949928,CC Moonnanakkuzhi Anganwadi,childcare,,childcare,,
way,979977874,Mothirottukunnu Anganwadi,childcare,,childcare,,
way,980405115,The Sultan Bathery Co Operative Urban Bank,bank,,bank,,
way,980405116,Federal Bank Meenangadi,bank,,bank,,
way,980405117,South Indian Bank Meenangadi,bank,,bank,,
way,981181318,Poomala Paradevatha Temple,place_of_worship,,place_of_worship,,
way,981183023,Wayanad Royal Grand,restaurant,,restaurant,,
way,981189155,Saint sebastian's Convent,place_of_worship,,place_of_worship,,
way,982240822,Community Health Centre Panamaram,hospital,hospital,hospital,,
way,982383952,Kappumkolly Padanamuri,library,,library,,
way,982865794,Aneri Community Center,community_centre,,community_facility,,
way,982865795,Aneri First,childcare,,childcare,,
way,984426516,Kerala Gramin Bank,bank,,bank,,
way,984426517,,place_of_worship,,place_of_worship,,
way,984426520,OLD MOSQUE PANAMARAM,place_of_worship,,place_of_worship,,
way,984426525,VADACHAL MOSQUE,place_of_worship,,place_of_worship,,
way,984426528,,place_of_worship,,place_of_worship,,
way,984426529,Padre Pio Church,place_of_worship,,place_of_worship,,
way,984833994,JAMATH MOSQUE,place_of_worship,,place_of_worship,,
way,984849835,,post_office,,post_office,,
way,991910023,Crescent Public High School,school,,school,,
way,991911852,,toilets,,toilets,,
way,995471174,"Government Ayurveda Dispensary, Poothadi",,alternative,alternative,,
way,995495766,"Government Ayurveda Dispensary, Kaniyambetta",,alternative,alternative,,
way,995800480,"Sub Center, Chundakkara",hospital,hospital,hospital,,
way,995812041,"Government Ayurveda Mobile Dispensary, Meppadi",,alternative,alternative,,
way,995817803,"Government Ayurveda Dispensary, Ambalavayal",,alternative,alternative,,
way,1005960095,"Anganavadi, Chazhivayal",childcare,,childcare,,
way,1006263011,"Anganavadi, Chullimoola",childcare,,childcare,,
way,1015166845,Unni Mathu Samsarika Nilayam,community_centre,,community_facility,,
way,1017363174,Mukkilpeedika Anganavadi,childcare,,childcare,,
way,1039057194,Mariyamman Kovil,place_of_worship,,place_of_worship,,
way,1039062021,Pachilakkad,place_of_worship,,place_of_worship,,
way,1062846776,Government Ayurveda Dispensary Muttil,,alternative,alternative,,
way,1062852646,Government Ayurveda Dispensary Moopainadu,,alternative,alternative,,
way,1066656080,"Police Station ,Kambalakkad",police,,police,,
way,1067883146,"Police Station, Kalpetta",police,,police,,
way,1079001516,Arivaram Anganavadi,childcare,,childcare,,
way,1079001517,Thamarakolly Anganavadi,childcare,,childcare,,
way,1079001520,Pulikkalkunnu Anganavadi,childcare,,childcare,,
way,1080270966,Ambalachal Angunvadi,childcare,,childcare,,
way,1080270967,Mandakkamoola Anganavadi,childcare,,childcare,,
way,1080270968,Millumukk Anganavadi,childcare,,childcare,,
way,1080270969,Ambalakunnu Anganavadi,childcare,,childcare,,
way,1080327769,Onivayal Anganvady,childcare,,childcare,,
way,1080327770,Pulachikkuni Anganwadi,childcare,,childcare,,
way,1080463555,Homeo Dispensary Pallimukku,hospital,hospital,hospital,,
way,1083002649,"Government Vetenary dispensary,pallikunnu",veterinary,,veterinary,,
way,1083002654,Chundakkara Community Center,community_centre,,community_facility,,
way,1083002655,Ambalakkunnu,childcare,,childcare,,
way,1083002659,Chundakkara,childcare,,childcare,,
way,1083002660,"Bhavana Library ,Vellachimoola",library,,library,,
way,1083002666,Kanal Pradhesham Anganavadi,childcare,,childcare,,
way,1083002667,Cinemallkunnu Anganavadi,childcare,,childcare,,
way,1083002668,,toilets,,toilets,,
way,1083002670,"Crime Branch CID Office, kambalakkad",police,,police,,
way,1083280487,Neru Nadakavedhi,community_centre,,community_facility,,
way,1083280493,Pulikkalkunnu,childcare,,childcare,,
way,1083280501,Paralikkunnu,childcare,,childcare,,
way,1083280502,Thervadikunnu anganvdadi,childcare,,childcare,,
way,1083550599,"Subcenter,Pallimukku",hospital,hospital,hospital,,
way,1083785947,Chitramoola,childcare,,childcare,,
way,1083785951,"Government Model Girls Residential School, Kaniyambetta",school,,school,,
way,1083785954,"St.George English Medium School,Varadoor",school,,school,,
way,1083785959,Kollivayal,childcare,,childcare,,
way,1083785968,"Pazhassiraja Library, Kolippeta",library,,library,,
way,1083812942,Moolavayal Anganavadi,childcare,,childcare,,
way,1084062613,"Navajeevan Library, Varadhoor",library,,library,,
way,1084062614,Varadhoor Community Center,community_centre,,community_facility,,
way,1084062616,"Family Health Center, Varadhoor",hospital,hospital,hospital,,
way,1084062620,Thazhekarani Anganvadi,childcare,,childcare,,
way,1085004804,Padaarikkunn,childcare,,childcare,,
way,1085004809,Janatha Library,library,,library,,
way,1085335076,Arimula 01 Community Center,community_centre,,community_facility,,
way,1085335077,Arimula 02 Community Center,community_centre,,community_facility,,
way,1085335078,Arimula Vetenary Subcenter,veterinary,,veterinary,,
way,1085335079,"Subcenter,Arimula",hospital,hospital,hospital,,
way,1085335080,Chundakkolly,childcare,,childcare,,
way,1085335086,"Government Eye hospital, kariyambadi",hospital,hospital,hospital,,
way,1085335088,Puthoor Community Center,community_centre,,community_facility,,
way,1085335089,"Pulari Library,Arimula",library,,library,,
way,1085335092,"Vetenary Subcenter, Karani",veterinary,,veterinary,,
way,1085335093,Kalluvayal,childcare,,childcare,,
way,1085335094,Chomadi,childcare,,childcare,,
way,1085358311,Kavumuttam Community Center,community_centre,,community_facility,,
way,1085527356,Pachilakkad First Anganawadi,childcare,,childcare,,
way,1085527357,Vazhayil kunjabdulla haji memorial,community_centre,,community_facility,,
way,1085548107,"Subcentre, Koodothummal",hospital,hospital,hospital,,
way,1085548121,Kavadam First,childcare,,childcare,,
way,1085548122,Mathoor,childcare,,childcare,,
way,1085548123,Nelliyambam,childcare,,childcare,,
way,1085548127,Kavadam Second,childcare,,childcare,,
way,1085548129,KJS Auditorium,conference_centre,,conference_centre,,
way,1085548133,Vetenary Sub Centre,veterinary,,veterinary,,
way,1085552516,Sneha palliative care,hospital,hospital,hospital,,
way,1085767213,District Ayurveda Hospital Kalpetta,,alternative,alternative,,
way,1097620007,Community Health Centre Panamaram,hospital,,hospital,,
way,1097620008,Community Health Centre Panamaram,hospital,hospital,hospital,,
way,1097620009,Community Health Centre Panamaram,hospital,hospital,hospital,,
way,1097620010,Community Health Centre Panamaram,hospital,,hospital,,
way,1097620798,Community Health Centre Panamaram,hospital,,hospital,,
way,1105134786,Krishna Gowder Hall,events_venue,,events_venue,,
way,1105153573,District Veterinary Centre,veterinary,,veterinary,,
way,1107452304,Nandan kavala samskarika nilayam,library,,library,,
way,1107453092,,toilets,,toilets,,
way,1107453845,Ambalavayal Public Library,library,,library,,
way,1107456360,"AKG Memorial Library, Kumbaleri",library,,library,,
way,1107456843,Anganwadi,childcare,,childcare,,
way,1107626455,,toilets,,toilets,,
way,1107636669,Kulakappaara Library,library,,library,,
way,1107637216,PAMBALA library,library,,library,,
way,1107637568,National Arts & Sports Club Library,library,,library,,
way,1107638017,Perumbadikunnu Public Library,library,,library,,
way,1184388847,Lourde Matha Church,place_of_worship,,place_of_worship,,
way,1184404753,St. Joseph's Church,place_of_worship,,place_of_worship,,
way,1184413195,Thungadi Mahavishnu Temple,place_of_worship,,place_of_worship,,
way,1203966299,Meppadi Post Office,post_office,,post_office,,
way,1204153144,Mocha,cafe,,cafe,,
way,1243323775,,place_of_worship,,place_of_worship,,
way,1267469585,,shelter,,shelter,,
way,1267469586,,shelter,,shelter,,
way,1267501295,Toddy Shop,pub,,pub,,
way,1267501297,,shelter,,shelter,,
way,1267507322,,shelter,,shelter,,
way,1267511020,Cherukunnu Temple,place_of_worship,,place_of_worship,,
way,1267513773,,shelter,,shelter,,
way,1267514263,St. Mary's Church,place_of_worship,,place_of_worship,,
way,1267514265,,shelter,,shelter,,
way,1267515434,St. George Church,place_of_worship,,place_of_worship,,
way,1267516588,,shelter,,shelter,,
way,1315251396,kottanchira kariyathan kavu,place_of_worship,,place_of_worship,,
way,1347522914,,toilets,,toilets,,
way,1347522916,,shelter,,shelter,,
way,1347522917,,shelter,,shelter,,
way,1347522918,,shelter,,shelter,,
way,1347587318,,shelter,,shelter,,
way,1347591431,,shelter,,shelter,,
way,1347601562,,shelter,,shelter,,
way,1347601563,,shelter,,shelter,,
way,1347601567,,shelter,,shelter,,
way,1347601568,,shelter,,shelter,,
way,1347601569,,shelter,,shelter,,
way,1347601571,,shelter,,shelter,,
way,1347601572,,shelter,,shelter,,
way,1347601573,,shelter,,shelter,,
way,1347601574,,shelter,,shelter,,
way,1347601575,,shelter,,shelter,,
way,1347601576,,shelter,,shelter,,
way,1347602538,,shelter,,shelter,,
way,1347799339,,toilets,,toilets,,
way,1349607469,,shelter,,shelter,,
way,1349607470,,shelter,,shelter,,
way,1350695727,,shelter,,shelter,,
way,1350697032,,shelter,,shelter,,
way,1350699124,,shelter,,shelter,,
way,1350928638,,shelter,,shelter,,
way,1350970408,,shelter,,shelter,,
way,1350970425,,shelter,,shelter,,
way,1352544975,,shelter,,shelter,,
way,1352544976,,shelter,,shelter,,
way,1352544978,,shelter,,shelter,,
way,1352544979,,shelter,,shelter,,
way,1352544982,,shelter,,shelter,,
way,1352572227,,shelter,,shelter,,
way,1352572228,,shelter,,shelter,,
way,1352572229,,shelter,,shelter,,
way,1352572231,,shelter,,shelter,,
way,1352572233,,shelter,,shelter,,
way,1352572234,,shelter,,shelter,,
way,1352616293,,shelter,,shelter,,
way,1352616294,,shelter,,shelter,,
way,1352616307,,shelter,,shelter,,
way,1352616308,,shelter,,shelter,,
way,1352616309,,shelter,,shelter,,
way,1352616310,,shelter,,shelter,,
way,1352616312,,shelter,,shelter,,
way,1352616313,,shelter,,shelter,,
way,1352616315,,shelter,,shelter,,
way,1352616316,,shelter,,shelter,,
way,1352616317,,shelter,,shelter,,
way,1352616318,,shelter,,shelter,,
way,1352616319,,shelter,,shelter,,
way,1352616320,,shelter,,shelter,,
way,1352632484,,shelter,,shelter,,
way,1352632485,,shelter,,shelter,,
way,1352632486,,shelter,,shelter,,
way,1352632487,,shelter,,shelter,,
way,1352632488,,shelter,,shelter,,
way,1352632492,,shelter,,shelter,,
way,1352632493,,shelter,,shelter,,
way,1352632494,,shelter,,shelter,,
way,1352632495,,shelter,,shelter,,
way,1352632496,,shelter,,shelter,,
way,1352632497,,shelter,,shelter,,
way,1352632501,,shelter,,shelter,,
way,1352692793,,shelter,,shelter,,
way,1352692795,,shelter,,shelter,,
way,1352692796,,shelter,,shelter,,
way,1352692801,,shelter,,shelter,,
way,1352692802,,shelter,,shelter,,
way,1352692803,,shelter,,shelter,,
way,1352692804,,shelter,,shelter,,
way,1352692806,,shelter,,shelter,,
way,1352692807,,shelter,,shelter,,
way,1352692808,,shelter,,shelter,,
way,1352692809,,shelter,,shelter,,
way,1352692810,,shelter,,shelter,,
way,1352692811,,shelter,,shelter,,
way,1352692814,,shelter,,shelter,,
way,1352692815,,shelter,,shelter,,
way,1352692816,,shelter,,shelter,,
way,1352692817,,shelter,,shelter,,
way,1352716392,,shelter,,shelter,,
way,1352716397,,shelter,,shelter,,
way,1352716399,,shelter,,shelter,,
way,1352716403,,shelter,,shelter,,
way,1352716405,,shelter,,shelter,,
way,1352716411,,shelter,,shelter,,
way,1352716412,,shelter,,shelter,,
way,1352716413,,shelter,,shelter,,
way,1352716415,,shelter,,shelter,,
way,1352716417,,shelter,,shelter,,
way,1352716419,,shelter,,shelter,,
way,1352931319,,shelter,,shelter,,
way,1352931322,,shelter,,shelter,,
way,1352931323,,shelter,,shelter,,
way,1352931324,,shelter,,shelter,,
way,1352931326,,shelter,,shelter,,
way,1352931327,,place_of_worship,,place_of_worship,,
way,1352931328,,shelter,,shelter,,
way,1352931329,Kannambadi Chamundeshwari Temple,place_of_worship,,place_of_worship,,
way,1352931331,,shelter,,shelter,,
way,1352931332,,shelter,,shelter,,
way,1352931333,,shelter,,shelter,,
way,1352931336,,shelter,,shelter,,
way,1352931341,,shelter,,shelter,,
way,1352931342,,shelter,,shelter,,
way,1352931346,,shelter,,shelter,,
way,1352931347,,shelter,,shelter,,
way,1352931351,,shelter,,shelter,,
way,1352948902,,shelter,,shelter,,
way,1352948903,,shelter,,shelter,,
way,1352948906,,shelter,,shelter,,
way,1352948908,,shelter,,shelter,,
way,1352948909,,shelter,,shelter,,
way,1352948910,,shelter,,shelter,,
way,1352948911,,shelter,,shelter,,
way,1352948912,,shelter,,shelter,,
way,1352948913,,shelter,,shelter,,
way,1352948914,,shelter,,shelter,,
way,1352948915,,shelter,,shelter,,
way,1352948916,,shelter,,shelter,,
way,1352948917,,shelter,,shelter,,
way,1352948918,,shelter,,shelter,,
way,1352948920,,shelter,,shelter,,
way,1352948921,,shelter,,shelter,,
way,1352948922,,shelter,,shelter,,
way,1352948925,,shelter,,shelter,,
way,1352948926,,shelter,,shelter,,
way,1352948928,,shelter,,shelter,,
way,1352965153,,shelter,,shelter,,
way,1352965154,,shelter,,shelter,,
way,1352965155,,shelter,,shelter,,
way,1352965156,,shelter,,shelter,,
way,1352975924,,shelter,,shelter,,
way,1352975925,,shelter,,shelter,,
way,1352975927,,shelter,,shelter,,
way,1352975928,,shelter,,shelter,,
way,1352980296,,shelter,,shelter,,
way,1353168834,,shelter,,shelter,,
way,1353168837,,shelter,,shelter,,
way,1353172032,,shelter,,shelter,,
way,1353172033,,shelter,,shelter,,
way,1353330214,Lourde Matha HSS Ground,school,,school,,
way,1353420385,,shelter,,shelter,,
way,1353420386,,shelter,,shelter,,
way,1353429367,,shelter,,shelter,,
way,1353429369,,shelter,,shelter,,
way,1353429370,,shelter,,shelter,,
way,1353429375,,shelter,,shelter,,
way,1353429379,,shelter,,shelter,,
way,1353429380,,shelter,,shelter,,
way,1353429382,,shelter,,shelter,,
way,1353429383,,shelter,,shelter,,
way,1353433916,,shelter,,shelter,,
way,1353433917,,shelter,,shelter,,
way,1353433918,,shelter,,shelter,,
way,1353433919,,shelter,,shelter,,
way,1353433920,,shelter,,shelter,,
way,1353433921,,shelter,,shelter,,
way,1353433922,,shelter,,shelter,,
way,1353433923,,shelter,,shelter,,
way,1353446047,,shelter,,shelter,,
way,1353446048,,shelter,,shelter,,
way,1353446049,,shelter,,shelter,,
way,1353446050,,shelter,,shelter,,
way,1353446051,,shelter,,shelter,,
way,1353446052,,shelter,,shelter,,
way,1353446053,,shelter,,shelter,,
way,1353446054,,place_of_worship,,place_of_worship,,
way,1353446055,,shelter,,shelter,,
way,1353446056,,shelter,,shelter,,
way,1353446057,Udaya,library,,library,,
way,1353446058,,post_office,,post_office,,
way,1353446064,,shelter,,shelter,,
way,1353446065,,shelter,,shelter,,
way,1353700117,,shelter,,shelter,,
way,1353710362,,shelter,,shelter,,
way,1353710363,,shelter,,shelter,,
way,1353714316,,shelter,,shelter,,
way,1353714317,,shelter,,shelter,,
way,1353714322,,shelter,,shelter,,
way,1353716804,,shelter,,shelter,,
way,1353716809,,shelter,,shelter,,
way,1353720021,,shelter,,shelter,,
way,1353720023,,shelter,,shelter,,
way,1353720024,,shelter,,shelter,,
way,1353723723,,shelter,,shelter,,
way,1353723724,,shelter,,shelter,,
way,1353732885,,shelter,,shelter,,
way,1372450479,,shelter,,shelter,,
way,1372586429,Aaneri Mahavishnu Temple,place_of_worship,,place_of_worship,,
way,1396018656,,shelter,,shelter,,
way,1396018657,,shelter,,shelter,,
way,1396022984,,shelter,,shelter,,
way,1396025040,,shelter,,shelter,,
way,1402718837,,shelter,,shelter,,
way,1402718838,,shelter,,shelter,,
way,1410398555,,shelter,,shelter,,
way,1410398558,Cheengavallam Juma Masjid,place_of_worship,,place_of_worship,,
way,1410413638,,shelter,,shelter,,
